,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
4287,Reported 04-Aug-1955,1955.0,Provoked,USA,South Carolina,Windy Hill Beach,Fishing,M,,Finger bitten by hooked shark PROVOKED INCIDENT,N,,"""a small shark"""
4291,23-Jun-1955,1955.0,Unprovoked,USA,Rhode Island,Occupasstuxet  (Patuxent) Cove,Wading,M,13,Bites on legs & thighs,N,,0.7 m [2.5'] sand shark
4294,08-May-1955,1955.0,Provoked,USA,California,"Malibu, Los Angeles County",Spearfishing,M,28,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,,2 m [6.75'] shark
4298,Apr-1955,1955.0,Unprovoked,USA,Hawaii,"Hilo, Hawai'i","Fishing from boat, Kaimamla",M,,Hand bitten,N,,
4302,10-Feb-1955,1955.0,Unprovoked,USA,California,"Trinidad Bay, Humboldt County",Scuba diving,M,,"No injury, shark bumped diver's face",N,,"Leopard shark, 3' Triakis semifasciata, identified by J.W. DeWitt (1955)"
4303,06-Feb-1955,1955.0,Unprovoked,USA,California,"Pacific Grove, Monterey County",Spearfishing,M,19,"Swimfin & 2 wool socks removed by shark, suit torn",N,12h00,"White shark, 5 m to 6 m [16.5' to 20] "
4310,1955,1955.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,,,No details,UNKNOWN,,
4313,1955,1955.0,Invalid,USA,Illinois,Chicago (Lake Michigan),Swimming,M,,Right leg allegedly bitten by a bull shark,Unknown,,Questionable incident
4320,20-Nov-1954,1954.0,Unprovoked,USA,Wake Island,Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands),Spearfishing,M,,Shoulder bitten,N,15h00,"Blacktip reef shark, 1.5 m [5'] "
4321,07-Oct-1954,1954.0,Sea Disaster,USA,Virginia,150 miles off Cape Henry,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",M,,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a mans leg & another reported that the second cook was killed by a shark,Y,,
4325,21-Sep-1954,1954.0,Unprovoked,USA,California,"La Jolla, San Diego County",Swimming,M,35,Minor bruises & abrasions on leg,N,,1.5 m [5'] shark
4335,Reported 04-Jul-1954,1954.0,Unprovoked,USA,Florida,Florida Keys,,,,Small wound on upper thigh,N,,"Nurse shark, 2.5' "
4339,29-Jun-1954,1954.0,Provoked,USA,California,"Santa Monica, Los Angeles County",Grabbed shark & threw it on deck,M,35,Right elbow & forearm lacerated  PROVOKED INCIDENT,N,,
4344,08-Apr-1954,1954.0,Invalid,USA,Hawaii,"Wailupe, O'ahu",Fishing from shore,M,,"Body recovered, mutilated by shark/s",Unknown,,Shark involvement prior to death was not confirmed
4354,1954,1954.0,Unprovoked,USA,Hawaii,Moloka'i,Fishing,M,,Bitten on foot,N,,a small shark'
4364,Reported 20-Sep-1953,1953.0,Unprovoked,USA,California,"Santa Catalina Island, Los Angeles County",Scuba diving,M,,No injury,N,,
4365,18-Sep-1953,1953.0,Sea Disaster,USA,Georgia,200 miles east of Savannah,Aircaft exploded,M,,Hand bitten,N,,
4366,Reported 03-Sep-1953,1953.0,Unprovoked,USA,New York,Rockaway Beach,Surf fishing,M,15,Laceration to right lower leg,N,,80-lb sand shark
4367,02-Sep-1953,1953.0,Unprovoked,USA,Hawaii,"Waiau, Pearl Harbor, O'ahu",Crabbing,M,,Leg & foot bitten,N,,"Hammerhead shark, 1.5 m [5'] "
4370,26-Jul-1953,1953.0,Unprovoked,USA,Hawaii,"Maile Beach, O'ahu",Spearfishing,M,15,"FATAL, thigh bitten",Y,09h15,3 m [10'] shark seen in vicinity
4371,16-Jul-1953,1953.0,Provoked,USA,California,"Santa Catalina Island, Los Angeles County",Fishing from market fishboat Sea Spray,M,,Arm bitten by hooked shark PROVOKED INCIDENT,N,,
4372,15-Jul-1953,1953.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Standing,F,26,Lower left leg severely bitten,N,,
4375,04-Jul-1953,1953.0,Unprovoked,USA,Hawaii,Kaula Rock near Niihau ,Accidentally dragged overboard from the sampan Holokahana into school of yellowfin tuna,M,,"Shark made 3 passes at him, lacerating his calf, shin and ankle ",N,08h00,
4379,04-Apr-1953,1953.0,Unprovoked,USA,Texas,South Padre Island,Swimming,F,19,Lacerations to right foot,N,Afternoon,
4386,18-Feb-1953,1953.0,Provoked,USA,Hawaii,"Barbers Point, O'ahu",Bitten while cutting shark from net,M,,Hand bitten  PROVOKED INCIDENT  ,N,,
4393,1953,1953.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Standing,F,,Leg lacerated thigh to ankle,N,,
4398,03-Aug-1952,1952.0,Unprovoked,USA,Hawaii,"Between Ala Moana Channel & Kewalo Basin, O'ahu",Swimming,M,,"FATAL, disappeared while swimming, shark bite found on right side of body",Y,,
4399,7-Dec-1952,1952.0,Unprovoked,USA,California,"Pacific Grove, Monterey Bay, Monterey County",Body surfing & treading water,M,17,"FATAL, leg lacerated  ",Y,14h00,"White shark,4.6 m [15'] "
4400,03-Dec-1952,1952.0,Unprovoked,USA,Hawaii,"Maile Beach, O'ahu",Swimming from fishing boat setting nets,M,40,"FATAL, left arm severed below the elbow ",Y,,>6.7 m [22']  shark
4404,27-Jul-1952,1952.0,Boating,USA,Florida,"Panacea, Wakulla County",Fishing for trout ,,,No injury to occupants. Shark chasing fish leapt into skiff & flopped out,N,,"Hammerhead shark, 5' "
4405,27-Jul-1952,1952.0,Provoked,USA,South Carolina,Seabrook Beach,Fishing,M, 43,Finger bitten by hooked shark PROVOKED INCIDENT,N,,a small shark'
4406,27-Jul-1952,1952.0,Provoked,USA,South Carolina,Seabrook Beach,Fishing,M,34,Thumb bitten by hooked shark PROVOKED INCIDENT,N,,a small shark'
4407,27-Jul-1952,1952.0,Sea Disaster,USA,California,"Off Santa Monica, Los Angeles County",Boat exploded,M,,FATAL & some of the survivors were bitten by sharks  ,Y,,
4408,13-Jul-1952,1952.0,Provoked,USA,California,"San Diego, San Diego County",Fishing,M,34,Part of hand removed by shark he had caught PROVOKED INCIDENT,N,,
4409,05-Jul-1952,1952.0,Unprovoked,USA,Puerto Rico,"Mona Island, 40 miles west of the mainland ","Spearfishing, carrying fish on spear",M,,Leg lacerated & bone fractured ,N,11h00,"Tiger shark, 1.5 m [5'] "
4410,27-May-1952,1952.0,Unprovoked,USA,California,"Imperial Beach, San Diego County",Swimming on surface,M,,Foot & swimfin bitten,N,10h00 or 14h00,"White shark, 2 m to 4 m [6'9"" to 13'] "
4422,1952,1952.0,Unprovoked,USA,Florida,Near Key West,Swimming,M,,"FATAL, groin bitten ",Y,,
4440,Reported 19-Jul-1951,1951.0,Unprovoked,USA,California,"Long Beach, Los Angeles County",,M,13,Severe laceration to foot,N,,
4442,25-Jun-1951,1951.0,Unprovoked,USA,Hawaii,"Kapehu Beach, Laupahoehoe, Hawai'i",Swept out to sea while fishing,M,,"FATAL, victim seen in shark's mouth",Y,,
4461,28-Oct-1950,1950.0,Unprovoked,USA,California,"Imperial Beach, San Diego County",Body surfing / treading water,M,31,Right leg lacerated,N,12h00,White shark
4469,10-Jul-1950,1950.0,Unprovoked,USA,Texas,Near Port Arthur,Swimming,M,11,Laceration to leg,N,,Hammerhead shark
4470,09-Jul-1950,1950.0,Invalid,USA,Texas,Galveston Bay,,M,,Human remains found in shark,Unknown,,Shark involvement prior to death was not confirmed
4471,Jul-1950,1950.0,Unprovoked,USA,Florida,"Rock Harbor, Key Largo, Monroe County","Goggle-diving for seaweeds, but standing in water",M,21,Shallow lacerations on back of right thigh,N,,0.7 m [2.5'] shark
4472,25-Jun-1950,1950.0,Unprovoked,USA,New York,"Beach 103rd Street, Rockaway ",Swimming ,M,16,"Gashes & lacerations on legs, foot lacerated.",N,,"""sand shark"""
4473,06-Jun-1950,1950.0,Sea Disaster,USA,Florida,275 miles northeast of Miami,Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA ,M,25,"FATAL, bitten five times. Other survivors fought off sharks for 10 hours. One survivor's arm severed by a shark.",Y,09h00,
4483,16-Jan-1950,1950.0,Invalid,USA,Hawaii,"Kahakuloa, Maui","Fishing, one of three fishermen swept into the sea by a large wave ",M,,"His remains were recovered from a huge shark caught 3 days later. The remains of another fisherman, Harold Fujimoto, were recovered, but the body of the third fisherman, Hideo Tamura, was never found",Unknown,Night,Shark involvement prior to death was not confirmed
4490,1950,1950.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Standing,M,,Arm bitten,N,,
4491,1950s,1950.0,Invalid,USA,Hawaii,"Waikiki, O'ahu",Spearfishing,M,,"No injury from shark, scraped chest climbing out on reef",Unknown,,"Alleged to involve a white shark ""with little yellow eyes"""
4509,25-Jul-1949,1949.0,Unprovoked,USA,South Carolina,"Oketee River, Jasper County",Floating on his back,M,16,"Abdomen abraded, thigh lacerated",N,15h00,
4510,16-Jul-1949,1949.0,Provoked,USA,California,"10 miles off Redondo Beach, Los Angeles County",Fishing,M,16,Right hand bitten by hooked shark being pulled onboard PROVOKED INCIDENT,N,,"Bonita sharkk, 200-lb"
4537,19-Sep-1948,1948.0,Unprovoked,USA,Hawaii,"Off Makapauu Point, O'ahu",Swimming,M,,Leg bitten,N,,
4538,19-Sep-1948,1948.0,Unprovoked,USA,Hawaii,"Off Makapauu Point, O'ahu",Fishing,M,,Survived,N,,
4545,01-Jul-1948,1948.0,Unprovoked,USA,US Virgin Islands,"St. John, Genti Bay",Swimming,M,46,FATAL,Y,,
4552,13-Feb-1948,1948.0,Sea Disaster,USA,Texas,"Gulf of Mexico between Brownsville & Carmen, Mexico","C47 aircraft carrying 5,000 lbs of ice ditched in the sea",M,,"FATAL. Womack was injured when plane went down, 3 days later he fell off liferaft & was taken by a shark  ",Y,,
4555,Summer 1948,1948.0,Provoked,USA,Florida,Biscayne Bay,Underwater photography,M,48,Grabbed shark by the tail & it bit him PROVOKED INCIDENT,N,Afternoon,Nurse shark
4570,04-Aug-1947,1947.0,Unprovoked,USA,Florida,In a canal 10 miles north of St Augustine,Swimming,M,20,"FATAL, calf bitten, leg surgically amputated  ",Y,A.M.,Possibly C. leucas
4571,Reported 27-Jul-1947,1947.0,Provoked,USA,California,"Santa Monica, Los Angeles County",Fishing,M,46,PROVOKED INCIDENT,N,,a small shark
4575,27-Jun-1947,1947.0,Unprovoked,USA,Hawaii,"Off Waianae, O'ahu",Fishing,M,35,"Left forearm, arm & leg lacerated",N,10h30,
4620,06-Aug-1945,1945.0,Unprovoked,USA, North Carolina,Ocracoke,,,,FATAL,Y,,
4624,08-May-1945,1945.0,Unprovoked,USA,North Carolina,"Ocracoke Inlet, Carteret County",Swimming,M,,"FATAL, large gash to thigh",Y,,
4632,02-Dec-1944,1944.0,Provoked,USA,Florida,3 miles north of the inlet at Palm Beach,Fishing for mackerel,,,"No injury to occupants. After being prodded with an oar, shark struck bow and sank boat PROVOKED INCIDENT",N,,"Tiger shark, 4.5 to 5.5 m [14'9"" to 18'], 2000-lb  "
4641,03-Sep-1944,1944.0,Unprovoked,USA,Maryland,North Beach,Swimming,M,13,Laceration to right lower leg,N,,
4646,31-May-1944,1944.0,Unprovoked,USA,Florida,"Atlantic Beach, Mayport,  Duval County",Bathing,F,15,Left calf bitten,N,,1.8 m [6'] blacktip shark or spinner shark
4663,04-Dec-1943,1943.0,Sea Disaster,USA,South Carolina,Off Charleston,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,M,,"Of the 18 crew who survived the sinking, 10 were taken by sharks. Cabarrocas was bitten but survived",Y,,
4666,26-Oct-1943,1943.0,Invalid,USA,Florida,Victim was on said to be on tanker that collided off Florida coast on 10-20-1943,,M,,"Hand, forearm, leg and pelvis recovered from 4.25 m  [14'] shark caught at Bakers Haulover, Miami Beach on 26-Oct-1943",Unknown,,Shark involvement prior to death unconfirmed
4669,18-Jul-1943,1943.0,Sea Disaster,USA,Florida,"40 miles off Islamorada, near Cay Sal",Treading water after survivng crash of the US Navy airship K-74 that was hit by the German submarine U-134,M,,FATAL,Y,,
4678,5-Apr-1943,1943.0,Invalid,USA,Hawaii,"3 miles from shore off McGregor Point, Maui","Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",M,,On 29-Apr-1943 his remains (right forearm & swim trunks) were found in 4.9 m [16'] sharks gut,Unknown,,Shark involvement prior to death unconfirmed
4687,Fall 1943,1943.0,Unprovoked,USA,Hawaii,"Midway Island, Northwestern Hawaiian Islands",Spearfishing,M,,Calf nipped in each case,N,,"""small sharks"""
4688,Fall 1943,1943.0,Unprovoked,USA,Hawaii,"Midway Island, Northwestern Hawaiian Islands",Spearfishing,M,,Calf nipped in each case,N,,"""small sharks"""
4689,1943,1943.0,Unprovoked,USA,Hawaii,"Midway, Northwestern Hawaiian Islands",,M,,"Unprovoked, but circumstances unknown",UNKNOWN,,
4711,04-Jun-1942,1942.0,Unprovoked,USA,Midway Atoll,,"Plane crashed in water, men in life raft",M,,Survived,N,,
4738,Reported 21-Aug-1941,1941.0,Provoked,USA,New York,Montauk,Fishing,,,Laceration to left forearm from hooked shark PROVOKED INCIDENT,N,,
4740,01-Aug-1941,1941.0,Unprovoked,USA,South Carolina,Sullivan's Island at entrance to Charleston Harbor,Swimming at edge of channel,M,20,Chest lacerated,N,,
4741,22-Jul-1941,1941.0,Boating,USA,New Jersey,"Brielle, Monmouth County (Offshore)",Fishing for tuna,,,"No injury to occupants, shark leapt into boat & bit cabin door",N,12h00,Mako shark
4742,01-Jul-1941,1941.0,Provoked,USA,Hawaii,"Nankuli, O'ahu",Fishing,M,,Arm bitten while removing shark from fishing line PROVOKED INCIDENT,N,,100-lb shark
4743,15-Jun-1941,1941.0,Provoked,USA,New York,15 miles south of Jones Inlet,Fishing from 32' boat,M,43,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,N,14h00,2.1 m [7'] shark
4746,09-Mar-1941,1941.0,Provoked,USA,California,"Santa Monica, Los Angeles County",Fishing,M,53,Right hand bitten by boated shark PROVOKED INCIDENT,N,Night,Mako shark (aka bonito shark) 1.2 m [4'] 
4763,13-Jul-1940,1940.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Standing,M,,Ankle bitten,N,,
4764,13-Jul-1940,1940.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Standing ,M,,Struck by shark immediately before it bit Tanner (see below),N,,
4765,30-Jun-1940,1940.0,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Fishing,M,,Thigh lacerated,N,,3 m [10'] shark
4790,04-Oct-1939,1939.0,Unprovoked,USA,Hawaii,"Kane'ohe Bay, Mokapu, O'ahu",Spearfishing & had just speared a ulua,M,,Hand bitten,N,,1.5 m [5'] shark
4792,01-Aug-1939,1939.0,Provoked,USA,California,"Off San Pedro, Los Angeles County",Fishing,M,33,Harpooned shark bit his arm PROVOKED INCIDENT,N,,
4795,14-Jul-1939,1939.0,Provoked,USA,Texas,"West Bay, 19 miles from Galveston",Seine netting,M,,Leg bitten by snared shark PROVOKED INCIDENT,N,Morning,18' shark
4796,03-May-1939,1939.0,Unprovoked,USA,Virginia,"At sea, several hundred miles south east of Cape Henry, Virginia",Washed off freighter Huncliff by a freak wave,M,,"FATAL, attacked by shark, body not recovered ",Y,,
4810,18-Aug-1938,1938.0,Provoked,USA,California,"Near Encino, Los Angeles County",Fishing,M,,Lacerations to hand by hooked shark PROVOKED INCIDENT,N,,
4811,18-Jul-1938,1938.0,Unprovoked,USA,South Carolina,Charleston,Swimming,M,,Foot & ankle lacerated,N,,
4813,17-Jul-1938,1938.0,Provoked,USA,California,"Dana Point, Orange County","Fishing, removing gaff from shark's mouth",M,27,Leg bitten by gaffed shark PROVOKED INCIDENT,N,,
4828,1938,1938.0,Provoked,USA,North Carolina,On one of the sounds near Wilmington,Fishing,M,,"No injury, boat towed by harpooned shark, PROVOKED INCIDENT",N,,
4831,13-Nov-1937,1937.0,Sea Disaster,USA,North Carolina,Off Cape Hatteraa,"Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather",M,,FATAL ,Y,,
4849,    15-Jun-1937,1937.0,Unprovoked,USA,Texas,Galveston,Swimming,M,14,FATAL,Y,Night,
4850,30-May-1937,1937.0,Provoked,USA,Texas,Galveston,Fishing,M,,Leg nipped by hooked shark PROVOKED INCIDENT,N,,4' shark
4861,30-Dec-1936,1936.0,Unprovoked,USA,Hawaii,"Honokohau, Maui","Diving, attempting to retrieve body of drowning victim wedged between rocks",M,,Thigh lacerated,N,,6 m [20']  shark
4868,04-Sep-1936,1936.0,Unprovoked,USA,Hawaii,"Lahaina, Maui",Swimming,M,,Leg lacerated,N,,
4873,Aug-1936,1936.0,Boating,USA,North Carolina,"Pamlico Sound off Frisco, Dare County",Fishing,M,13,Shark rammed boat; no injury to occupants,N,,
4874,25-Jul-1936,1936.0,Unprovoked,USA,Massachusetts,"Hollywood Beach, just above Mattapoisett Harbor, Buzzards Bay",Swimming crawl stroke,M,16,"FATAL, finger severed, thigh bitten He died during the surgical amputation of his leg   ",Y,15h30,White shark (identified by Dr. Hugh Smith) 
4875,12-Jul-1936,1936.0,Boating,USA,New Jersey,"Long Branch, Monmouth County (offshore)",Fishing for bluefish,,,"No injury to occupants, shark leapt onboard boat",N,15h00,"Blue shark, 8' [2.4 m], 500-lb "
4879,06-Jun-1936,1936.0,Unprovoked,USA,Florida,"Boca Ciega Bay, Pinellas County",Swimming,M,,FATAL,Y,,
4882,30-Mar-1936,1936.0,Provoked,USA,Florida,"Miami, Miami-Date County",Fishing,M,,No injury. His hand entangled in line of hooked shark. He was pulled overboard & towed 150' PROVOKED INCIDENT ,N,,650-lb shark
4895,21-Sep-1935,1935.0,Unprovoked,USA,North Carolina,"Browns Inlet on New River, Onslow Beach",Swimming,M,38,"FATAL, thigh bitten ",Y,20h30,
4900,27-Jul-1935,1935.0,Invalid,USA,California,Santa Barbara Channel,fishing boat exploded & sank,M,23,"Although listed as an uprovoked fatal attack by SAF, shark bite on his ankle was post-mortem following death by drowning",Unknown,,Invalid
4901,27-Jul-1935,1935.0,Invalid,USA,California,Santa Barbara Channel,fishing boat exploded & sank,M,53,"Although listed as  an uprovoked fatal attack by SAF, he was killed by the explosion. The shark bites were post-mortem ",Unknown,,Invalid
4904,18-Jun-1935,1935.0,Unprovoked,USA,New Jersey,50 miles offshore,"Fishing for bluefish, shark leapt into dory",M,31,Arm lacerated by a shark that leapt onto boat ,N,,4.6 m [15'] shark
4912,Reported 08-Apr-1935,1935.0,Unprovoked,USA,California,"Hermosa Beach, Los Angeles County",,M,,Laceration to hand  ,N,,
4937,05-Aug-1934,1934.0,Unprovoked,USA,Georgia,"Thunderbolt, Chatham County",Swimming,M,11,Lacerations to right leg,N,,
4940,20-Jun-1934,1934.0,Unprovoked,USA,Florida,"Melbourne, Brevard County",Standing,M,8,FATAL,Y,,
4956,28-Aug-1933,1933.0,Provoked,USA,California,"Hermosa Beach, Los Angeles County","Fishing, caught a 15' shark & took it onboard",M,,Severely lacerated arm PROVOKED INCIDENT,N,,"Blue shark, 4.5 m [14'9""]"
4957,28-Aug-1933,1933.0,Unprovoked,USA,South Carolina,"Pawleys Island, north of Charleston",Bathing,M,,Right heel & ankle bitten,N,,
4958,Reported 26-Aug-1933,1933.0,Unprovoked,USA,Connecticut,Mystic River,Swimming,F,,Foot bitten,N,,
4959,Reported 07-Jul-1933,1933.0,Unprovoked,USA,California,"San Diego, San Diego County",,M,50,Survived,N,,Tiger shark
4961,21-Jun-1933,1933.0,Unprovoked,USA,South Carolina,North end of Morris Island at mouth of Charleston Harbor,Sitting in 3' of water,M,15,Right knee & left leg bitten,N,,Thought to involve a 2.4 m [8'] lemon shark; two 2.4 m lemon sharks caught within 100 yds of the site a week prior to & a week after this incident
4962,16-Jun-1933,1933.0,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Standing,F,,Left calf bitten,N,,
4968,10-Apr-1933,1933.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,M,24,FATAL,Y,,Possibly a bull shark or tiger shark
4982,10-Aug-1932,1932.0,Provoked,USA,New Jersey,"Offshore, between Mantoloking & Point Pleasant, Ocean County",Fishing,M,,Hooked shark gashed right leg      PROVOKED INCIDENT,N,,16' 800-lb shark
4985,Reported 14-Jul-1932,1932.0,Invalid,USA,Texas,Galveston,,M,17,Body recovered  from 9' shark but death due to shark bite was not confirmed,Unknown,,Shark involvement prior to death unconfirmed
4987,28-Jun-1932,1932.0,Provoked,USA,New Jersey,"10 miles offshore from Sea Isle City, Cape May County",Fishing,M,32,Knee bitten by boated shark PROVOKED INCIDENT,N,,"250-lb ""dog shark"""
4988,26-Jun-1932,1932.0,Provoked,USA,New Jersey,"Off Ocean City, Cape May County",Fishing,M,,Ankle broken when 500-lb boated shark lashed him with its tail PROVOKED INCIDENT,N,,
4994,16-Feb-1932,1932.0,Unprovoked,USA,Hawaii,"1 mile off Mala Wharf, Lahaina, Maui",Swimming,M,,Two 6-inch lacerations,N,,
5003,21-Sep-1931,1931.0,Unprovoked,USA,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming,M,,Minor injury,N,,
5004,21-Sep-1931,1931.0,Unprovoked,USA,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming ,F,20,Right thigh & calf lacerated,N,,"Hammerhead shark, 2.4 m [8'], according to lifeguard Sam Barrows"
5005,02-Sep-1931,1931.0,Invalid,USA,Hawaii,"Kahala, O'ahu",Fishing,M,,"Swept out to sea by strong currents, his remains found in a 5.5m shark caught off Barbers Point",Unknown,,Shark involvement prior to death unconfirmed
5007,30-Aug-1931,1931.0,Invalid,USA,Hawaii,,,M,,"""Mysteriously disappeared"" His body was found in an 18', 750-lb shark caught at Barber's Point on 01-Sep-1931",Unknown,,Shark involvement prior to death unconfirmed
5008,27-Aug-1931,1931.0,Boating,USA,New Jersey,"1 mile ESE of Navesink, Monmouth County",Fishing for bluefish,,,No injury to occupants. Shark chasing fish struck boat,N,,
5011,18-Aug-1931,1931.0,Unprovoked,USA,Texas,Off Brownsville,Swimming,M,,Minor injury,N,,
5012,Reported 06-Aug-1931,1931.0,Unprovoked,USA,New Jersey,"Sandy Hook (ocean side), Monmouth County",Swimming,M,,Survived,N,,
5015,15-Jul-1931,1931.0,Unprovoked,USA,New Jersey,"Sea Girt, Monmouth County",Swimming,M,,Nipped on leg,N,,
5016,14-Jun-1931,1931.0,Unprovoked,USA,Hawaii,"Pearl Harbor, O'ahu","Fishing, had just speared a ulua",M,,Survived,N,,
5017,13-Jun-1931,1931.0,Provoked,USA,Hawaii,"Pearl Harbor, O'ahu",Gaffing & attempting to bring onboard a harpooned shark,M,,Tip of finger amputated PROVOKED INCIDENT,N,,"Tiger shark, 3 m [10']"
5018,Reported 04-Jun-1931,1931.0,Unprovoked,USA,Florida,"Key West, Monroe County ",Crabbing,M,,Lacerations to fingers,N,,6' shark
5039,06-Aug-1930,1930.0,Unprovoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",Swimming,M,,Lacerations to foot & ankle,N,06h00,
5041,11-Jul-1930,1930.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,21,Arm lacerated from shoulder to wrist,N,,Tiger shark
5043,27-May-1930,1930.0,Unprovoked,USA,Texas,High Island,Swimming / floating,M,,Lacerations to arm,N,18h00,
5047,Reported 07-Mar-1930,1930.0,Unprovoked,USA,Florida,70 miles off Tarpon Springs,Sponge diving,M,,No injury to diver but shark left 3 toothmarks in his helmet,N,,
5067,05-Aug-1929,1929.0,Unprovoked,USA,South Carolina,Fort Moultrie,Bathing,M,,Left foot & ankle bitten,N,,
5070,23-Jun-1929,1929.0,Provoked,USA,Florida,"Fort Pierce, St Lucie County",Fishing,M,,Leg bitten by hooked shark PROVOKED INCIDENT,N,,9-foot shark
5077,16-Mar-1929,1929.0,Unprovoked,USA,Florida,"Sea Spray, Palm Beach",Swimming,M,26,Right sole & toes lacerated,N,12h00,
5091,1929,1929.0,Provoked,USA,Florida,Indian River area,Fishing,M,,Thigh lacerated by hooked shark PROVOKED INCIDENT,N,,9' shark
5093,1929,1929.0,Unprovoked,USA,Florida,"Cape Canaveral, Brevard County",Hardhat diving ,M,27,"Put hand through hatch, shark nearly bit off thumb",N,,
5095,18-Nov-1928,1928.0,Provoked,USA,New Jersey,"Seabright, Monmouth County",Fishing,M,,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",N,,"""Blue nose sharks"""
5097,12-Nov-1928,1928.0,Sea Disaster,USA,Virginia,"200 miles off Hampton Roads, Virginia, USA","Sea Disaster, sinking of the  SS Vestris",M,,FATAL,Y,,
5099,Sep-1928,1928.0,Unprovoked,USA,Texas,Corpus Christi,Fishing,M,,Knee bitten,N,,
5100,Reported 24-Aug-1928,1928.0,Invalid,USA,New Jersey,Off shore,,M,,Thumb & coat sleeve recovered from shark's gut,Unknown,,7' shark
5103,Reported 24-Jun-1928,1928.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,M,,Bitten on leg,N,,
5115,21-Jan-1928,1928.0,Invalid,USA,Florida,,Swimming,,,Body not recovered ,Unknown,Night,Shark involvement not confirmed
5116,Some time between 08-Jan-1928 & 21-Jan-1928,1928.0,Invalid,USA,Florida,Off Florida coast,Jumped overboard and swimming,M,,"FATAL, presumed taken by shark/s",Unknown,Night,Shark involvement not confirmed
5135,Reported 08-Jan-1927,1927.0,Unprovoked,USA,California,"Catalina Channel, Los Angeles County",Swimming,M,,Lost hand,N,,
5145,24-Aug-1926,1926.0,Unprovoked,USA,New Jersey,"Seaside, Ocean County",Swimming,M,18,FATAL,Y,,
5147,12-Jul-1926,1926.0,Boating,USA,New Jersey,20 miles off Seabright,Fishing,M,,No injury to occupants,N,,"""whiptail shark"" (thresher shark?)"
5148,08-Jul-1926,1926.0,Unprovoked,USA,California,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Swimming with dog near canning factory,M,15,Leg & hand lacerated and dog bitten,N, ,1.5 m [5'] white shark or sevengill shark
5150,18-May-1926,1926.0,Unprovoked,USA,Hawaii,"Hale'iwa, O'ahu",Swimming,M,,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",Y,,"White shark, 3.8 m [12.5']  "
5152,07-Apr-1926,1926.0,Unprovoked,USA,Hawaii,"Hilo Bay Yacht Club, Hilo, Hawai'i",Swimming,F,,Right leg bitten thigh to heel,N,17h30,"According to Carlsmith, the shark's mouth was 3' wide"
5161,Nov-1925,1925.0,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,F,,Laceration across abdomen,N,,
5162,Nov-1925,1925.0,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,M,,Both calves lacerated,N,,
5165,02-Aug-1925,1925.0,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Swimming,F,,"Multiple lacerations on both thighs, right buttock and hip",N,,
5167,May 1925,1925.0,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,M,,"Right arm nearly severed at shoulder, left wrist lacerated",N,,
5171,Reported 27-Jan-1925,1925.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,M,,Lacerations to arm,N,,
5176,21-Nov-1924,1924.0,Unprovoked,USA,Puerto Rico,Santurce,Bathing,M,35,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,Late afternon,
5179,31-Jul-1924,1924.0,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Standing,M,,Left knee & leg bitten. (Tooth fragment recovered from kneecap),N,,"Mako shark, 1.9 m [6.5']. Tooth fragment recovered & identified by J.T. Nichols."
